protocol,n_star,fit_intercept,fit_slope,fit_r2,plateau_fraction
Brain SRS 1fx,75,0.0089391113804205,0.2818015884917502,0.8430025426481592,0.05
Brain SRT 3fx,50,-0.0121600331880314,0.4222526929192715,0.9680594008721468,0.05
Brain SRT 5fx,30,0.0113727463650536,0.2580887868619909,0.9997101473553756,0.05
Breast 40.05Gy  4fields Left,100,0.0026381387241308,0.1536999755943308,0.9884132022119954,0.05
Breast 42.56Gy Tangent Right,100,0.000221278256154,0.1583281133881254,0.95327113177623,0.05
"Florence,30 Gy/5 fx Left",100,-0.0005547162609527,0.113812245612528,0.9917734932908594,0.05
GBM 60Gy in 30fx,50,-0.0050469697381693,0.3684258373769949,0.9914549161769374,0.05
General GYN no LNs,50,-0.0193818865631422,0.6446350954074118,0.9967163169122184,0.05
General GYN with LNs Boost,50,0.0013196465706481,0.4288092123242923,0.957178270795195,0.05
H&N Def LxHypo,30,-0.0022010940061555,0.2227252512643197,0.999765391189876,0.05
H&N Def OC,100,-0.0076431581381188,0.2884952715199358,0.9915909507469728,0.05
H&N Def Other,100,0.0003448683436228,0.3433681433522382,0.9640246255252846,0.05
H&N Postop OC,50,-0.0091418924970545,0.2198082713415975,0.9956779432876096,0.05
H&N Postop Other,75,-0.0064699981300682,0.217646120777372,0.9949979327673596,0.05
Lung 45Gy in30fx,100,0.007137753637804,0.3702112370703305,0.9941497401491032,0.05
Lung 60-66Gy in30-33fx,50,-0.0133582773580545,0.3044347097575894,0.9742157695900971,0.05
Lung SBRT 50Gy in 4fx,100,-0.0002391381055059,0.1627602528245854,0.928950946559982,0.05
Lung SBRT 54Gy in 3fx,75,0.006489115834508,0.1535349788932548,0.994937909603637,0.05
Lung SBRT 60Gy in 5fx,100,-0.0019794892545088,0.2258953534301425,0.9985063846471578,0.05
Prostate 70Gy in 28fx,100,-0.0135246408179587,0.3410003353639634,0.9776801803096896,0.05
Prostate SBRT,50,0.0100325977238044,0.3916452352907099,0.9998022625081888,0.05
Rectal 54Gy in 27fx,75,-0.0345835484978286,0.4869667559997262,0.9625599505855492,0.05
UK FAST 28.5 Gy / 5 fx weekly Right,30,-0.0033755009896191,0.2052794504870071,0.9996264023737575,0.05
UK Fast-Forward  26 Gy / 5 fx daily Left,100,-0.0074279951337697,0.2399214367293965,0.9823970597032636,0.05
